ds,y
2022-10-08,305
2022-10-09,243
2022-10-10,216
2022-10-11,278
2022-10-12,315
2022-10-13,304
2022-10-14,347
2022-10-15,275
2022-10-16,248
2022-10-17,263
2022-10-18,250
2022-10-19,286
2022-10-20,299
2022-10-21,335
2022-10-22,326
2022-10-23,241
2022-10-24,296
2022-10-25,295
2022-10-26,266
2022-10-27,315
2022-10-28,302
2022-10-29,308
2022-10-30,290
2022-10-31,286
2022-11-01,279
2022-11-02,322
2022-11-03,318
2022-11-04,287
2022-11-05,294
2022-11-06,232
2022-11-07,280
2022-11-08,231
2022-11-09,259
2022-11-10,266
2022-11-11,310
2022-11-12,270
2022-11-13,237
2022-11-14,264
2022-11-15,298
2022-11-16,303
2022-11-17,290
2022-11-18,285
2022-11-19,319
2022-11-20,249
2022-11-21,306
2022-11-22,306
2022-11-23,297
2022-11-24,191
2022-11-25,233
2022-11-26,247
2022-11-27,238
2022-11-28,254
2022-11-29,240
2022-11-30,279
2022-12-01,291
2022-12-02,298
2022-12-03,280
2022-12-04,255
2022-12-05,269
2022-12-06,318
2022-12-07,298
2022-12-08,286
2022-12-09,305
2022-12-10,253
2022-12-11,234
2022-12-12,282
2022-12-13,302
2022-12-14,261
2022-12-15,335
2022-12-16,373
2022-12-17,278
2022-12-18,241
2022-12-19,277
2022-12-20,266
2022-12-21,268
2022-12-22,290
2022-12-23,311
2022-12-24,267
2022-12-25,181
2022-12-26,189
2022-12-27,213
2022-12-28,221
2022-12-29,203
2022-12-30,299
2022-12-31,249
2023-01-01,275
2023-01-02,206
2023-01-03,225
2023-01-04,251
2023-01-05,235
2023-01-06,234
2023-01-07,181
2023-01-08,188
2023-01-09,242
2023-01-10,252
2023-01-11,216
2023-01-12,280
2023-01-13,299
2023-01-14,248
2023-01-15,193
2023-01-16,217
2023-01-17,256
2023-01-18,258
2023-01-19,298
2023-01-20,235
2023-01-21,230
2023-01-22,243
2023-01-23,254
2023-01-24,235
2023-01-25,256
2023-01-26,256
2023-01-27,235
2023-01-28,260
2023-01-29,215
2023-01-30,232
2023-01-31,261
2023-02-01,256
2023-02-02,263
2023-02-03,307
2023-02-04,222
2023-02-05,207
2023-02-06,255
2023-02-07,258
2023-02-08,237
2023-02-09,238
2023-02-10,297
2023-02-11,261
2023-02-12,209
2023-02-13,264
2023-02-14,259
2023-02-15,264
2023-02-16,262
2023-02-17,276
2023-02-18,252
2023-02-19,241
2023-02-20,186
2023-02-21,226
2023-02-22,214
2023-02-23,215
2023-02-24,269
2023-02-25,239
2023-02-26,232
2023-02-27,246
2023-02-28,228
2023-03-01,311
2023-03-02,247
2023-03-03,282
2023-03-04,270
2023-03-05,264
2023-03-06,257
2023-03-07,273
2023-03-08,236
2023-03-09,297
2023-03-10,292
2023-03-11,245
2023-03-12,213
2023-03-13,317
2023-03-14,268
2023-03-15,284
2023-03-16,252
2023-03-17,282
2023-03-18,233
2023-03-19,248
2023-03-20,287
2023-03-21,248
2023-03-22,221
2023-03-23,261
2023-03-24,247
2023-03-25,226
2023-03-26,284
2023-03-27,265
2023-03-28,246
2023-03-29,274
2023-03-30,293
2023-03-31,256
2023-04-01,278
2023-04-02,246
2023-04-03,260
2023-04-04,305
2023-04-05,276
2023-04-06,226
2023-04-07,210
2023-04-08,224
2023-04-09,210
2023-04-10,218
2023-04-11,209
2023-04-12,234
2023-04-13,237
2023-04-14,287
2023-04-15,242
2023-04-16,222
2023-04-17,255
2023-04-18,237
2023-04-19,273
2023-04-20,287
2023-04-21,312
2023-04-22,258
2023-04-23,269
2023-04-24,302
2023-04-25,257
2023-04-26,285
2023-04-27,237
2023-04-28,305
2023-04-29,327
2023-04-30,284
2023-05-01,261
2023-05-02,244
2023-05-03,262
2023-05-04,287
2023-05-05,301
2023-05-06,346
2023-05-07,292
2023-05-08,300
2023-05-09,298
2023-05-10,267
2023-05-11,289
2023-05-12,370
2023-05-13,298
2023-05-14,290
2023-05-15,265
2023-05-16,286
2023-05-17,330
2023-05-18,320
2023-05-19,313
2023-05-20,300
2023-05-21,284
2023-05-22,286
2023-05-23,270
2023-05-24,274
2023-05-25,296
2023-05-26,296
2023-05-27,300
2023-05-28,267
2023-05-29,250
2023-05-30,286
2023-05-31,266
2023-06-01,335
2023-06-02,312
2023-06-03,216
2023-06-04,256
2023-06-05,253
2023-06-06,268
2023-06-07,259
2023-06-08,233
2023-06-09,287
2023-06-10,291
2023-06-11,251
2023-06-12,289
2023-06-13,274
2023-06-14,289
2023-06-15,284
2023-06-16,310
2023-06-17,270
2023-06-18,315
2023-06-19,261
2023-06-20,280
2023-06-21,268
2023-06-22,231
2023-06-23,255
2023-06-24,285
2023-06-25,288
2023-06-26,289
2023-06-27,272
2023-06-28,241
2023-06-29,263
2023-06-30,266
2023-07-01,230
2023-07-02,245
2023-07-03,274
2023-07-04,229
2023-07-05,278
2023-07-06,263
2023-07-07,269
2023-07-08,245
2023-07-09,242
2023-07-10,264
2023-07-11,276
2023-07-12,281
2023-07-13,283
2023-07-14,272
2023-07-15,251
2023-07-16,284
2023-07-17,311
2023-07-18,246
2023-07-19,228
2023-07-20,283
2023-07-21,323
2023-07-22,282
2023-07-23,249
2023-07-24,249
2023-07-25,301
2023-07-26,269
2023-07-27,242
2023-07-28,287
2023-07-29,270
2023-07-30,256
2023-07-31,261
2023-08-01,280
2023-08-02,255
2023-08-03,261
2023-08-04,272
2023-08-05,261
2023-08-06,268
2023-08-07,245
2023-08-08,240
2023-08-09,261
2023-08-10,291
2023-08-11,275
2023-08-12,301
2023-08-13,273
2023-08-14,270
2023-08-15,254
2023-08-16,261
2023-08-17,202
2023-08-18,296
2023-08-19,273
2023-08-20,261
2023-08-21,254
2023-08-22,231
2023-08-23,222
2023-08-24,236
2023-08-25,244
2023-08-26,253
2023-08-27,249
2023-08-28,233
2023-08-29,223
2023-08-30,258
2023-08-31,311
2023-09-01,289
2023-09-02,283
2023-09-03,259
2023-09-04,265
2023-09-05,285
2023-09-06,292
2023-09-07,306
2023-09-08,260
2023-09-09,269
2023-09-10,242
2023-09-11,294
2023-09-12,280
2023-09-13,260
2023-09-14,305
2023-09-15,273
2023-09-16,289
2023-09-17,213
2023-09-18,280
2023-09-19,285
2023-09-20,286
2023-09-21,284
2023-09-22,284
2023-09-23,257
2023-09-24,279
2023-09-25,236
2023-09-26,272
2023-09-27,294
2023-09-28,306
2023-09-29,318
2023-09-30,248
2023-10-01,245
2023-10-02,276
2023-10-03,313
2023-10-04,284
2023-10-05,290
2023-10-06,307
2023-10-07,270
2023-10-08,225
2023-10-09,195
2023-10-10,282
2023-10-11,281
2023-10-12,274
2023-10-13,311
2023-10-14,282
2023-10-15,285
2023-10-16,292
2023-10-17,273
2023-10-18,252
2023-10-19,315
2023-10-20,340
2023-10-21,285
2023-10-22,263
2023-10-23,283
2023-10-24,262
2023-10-25,292
2023-10-26,299
2023-10-27,280
2023-10-28,355
2023-10-29,248
2023-10-30,283
2023-10-31,274
2023-11-01,257
2023-11-02,232
2023-11-03,296
2023-11-04,239
2023-11-05,238
2023-11-06,278
2023-11-07,238
2023-11-08,267
2023-11-09,242
2023-11-10,217
2023-11-11,297
2023-11-12,233
2023-11-13,306
2023-11-14,266
2023-11-15,273
2023-11-16,281
2023-11-17,327
2023-11-18,282
2023-11-19,276
2023-11-20,316
2023-11-21,360
2023-11-22,295
2023-11-23,197
2023-11-24,222
2023-11-25,211
2023-11-26,209
2023-11-27,265
2023-11-28,229
2023-11-29,239
2023-11-30,271
2023-12-01,330
2023-12-02,261
2023-12-03,260
2023-12-04,271
2023-12-05,260
2023-12-06,222
2023-12-07,269
2023-12-08,276
2023-12-09,273
2023-12-10,216
2023-12-11,295
2023-12-12,313
2023-12-13,264
2023-12-14,279
2023-12-15,309
2023-12-16,239
2023-12-17,239
2023-12-18,297
2023-12-19,271
2023-12-20,283
2023-12-21,284
2023-12-22,323
2023-12-23,218
2023-12-24,216
2023-12-25,155
2023-12-26,188
2023-12-27,234
2023-12-28,272
2023-12-29,263
2023-12-30,228
2023-12-31,186
2024-01-01,246
2024-01-02,253
2024-01-03,237
2024-01-04,219
2024-01-05,249
2024-01-06,234
2024-01-07,182
2024-01-08,236
2024-01-09,279
2024-01-10,230
2024-01-11,290
2024-01-12,299
2024-01-13,254
2024-01-14,216
2024-01-15,197
2024-01-16,276
2024-01-17,254
2024-01-18,226
2024-01-19,252
2024-01-20,209
2024-01-21,232
2024-01-22,244
2024-01-23,225
2024-01-24,260
2024-01-25,252
2024-01-26,267
2024-01-27,243
2024-01-28,251
2024-01-29,258
2024-01-30,205
2024-01-31,244
2024-02-01,220
2024-02-02,255
2024-02-03,242
2024-02-04,242
2024-02-05,258
2024-02-06,252
2024-02-07,248
2024-02-08,244
2024-02-09,290
2024-02-10,195
2024-02-11,188
2024-02-12,248
2024-02-13,182
2024-02-14,291
2024-02-15,244
2024-02-16,282
2024-02-17,252
2024-02-18,212
2024-02-19,174
2024-02-20,231
2024-02-21,212
2024-02-22,236
2024-02-23,218
2024-02-24,211
2024-02-25,237
2024-02-26,238
2024-02-27,274
2024-02-28,204
2024-02-29,252
2024-03-01,309
2024-03-02,234
2024-03-03,228
2024-03-04,252
2024-03-05,260
2024-03-06,282
2024-03-07,224
2024-03-08,312
2024-03-09,271
2024-03-10,228
2024-03-11,261
2024-03-12,268
2024-03-13,248
2024-03-14,277
2024-03-15,276
2024-03-16,261
2024-03-17,250
2024-03-18,257
2024-03-19,201
2024-03-20,246
2024-03-21,248
2024-03-22,242
2024-03-23,230
2024-03-24,279
2024-03-25,287
2024-03-26,241
2024-03-27,200
2024-03-28,269
2024-03-29,229
2024-03-30,252
2024-03-31,236
2024-04-01,222
2024-04-02,264
2024-04-03,252
2024-04-04,254
2024-04-05,232
2024-04-06,224
2024-04-07,244
2024-04-08,241
2024-04-09,289
2024-04-10,230
2024-04-11,230
2024-04-12,293
2024-04-13,226
2024-04-14,237
2024-04-15,279
2024-04-16,257
2024-04-17,245
2024-04-18,232
2024-04-19,267
2024-04-20,263
2024-04-21,227
2024-04-22,206
2024-04-23,170
2024-04-24,225
2024-04-25,251
2024-04-26,249
2024-04-27,197
2024-04-28,210
2024-04-29,247
2024-04-30,196
2024-05-01,257
2024-05-02,252
2024-05-03,265
2024-05-04,235
2024-05-05,250
2024-05-06,269
2024-05-07,281
2024-05-08,258
2024-05-09,255
2024-05-10,283
2024-05-11,250
2024-05-12,275
2024-05-13,267
2024-05-14,268
2024-05-15,277
2024-05-16,259
2024-05-17,252
2024-05-18,265
2024-05-19,248
2024-05-20,265
2024-05-21,291
2024-05-22,283
2024-05-23,262
2024-05-24,336
2024-05-25,240
2024-05-26,240
2024-05-27,193
2024-05-28,266
2024-05-29,290
2024-05-30,266
2024-05-31,289
2024-06-01,261
2024-06-02,234
2024-06-03,256
2024-06-04,298
2024-06-05,259
2024-06-06,279
2024-06-07,285
2024-06-08,281
2024-06-09,256
2024-06-10,251
2024-06-11,257
2024-06-12,249
2024-06-13,245
2024-06-14,292
2024-06-15,288
2024-06-16,252
2024-06-17,239
2024-06-18,264
2024-06-19,220
2024-06-20,310
2024-06-21,303
2024-06-22,261
2024-06-23,250
2024-06-24,281
2024-06-25,249
2024-06-26,289
2024-06-27,279
2024-06-28,309
2024-06-29,212
2024-06-30,249
2024-07-01,247
2024-07-02,251
2024-07-03,258
2024-07-04,203
2024-07-05,254
2024-07-06,212
2024-07-07,201
2024-07-08,238
2024-07-09,258
2024-07-10,241
2024-07-11,267
2024-07-12,246
2024-07-13,255
2024-07-14,230
2024-07-15,268
2024-07-16,265
2024-07-17,261
2024-07-18,241
2024-07-19,236
2024-07-20,235
2024-07-21,232
2024-07-22,222
2024-07-23,226
2024-07-24,194
2024-07-25,253
2024-07-26,274
2024-07-27,237
2024-07-28,245
2024-07-29,234
2024-07-30,255
2024-07-31,244
2024-08-01,249
2024-08-02,263
2024-08-03,276
2024-08-04,231
2024-08-05,220
2024-08-06,268
2024-08-07,224
2024-08-08,235
2024-08-09,250
2024-08-10,288
2024-08-11,247
2024-08-12,242
2024-08-13,241
2024-08-14,247
2024-08-15,236
2024-08-16,285
2024-08-17,231
2024-08-18,273
2024-08-19,233
2024-08-20,247
2024-08-21,234
2024-08-22,223
2024-08-23,246
2024-08-24,237
2024-08-25,235
2024-08-26,234
2024-08-27,229
2024-08-28,258
2024-08-29,224
2024-08-30,285
2024-08-31,239
2024-09-01,238
2024-09-02,237
2024-09-03,233
2024-09-04,268
2024-09-05,281
2024-09-06,259
2024-09-07,235
2024-09-08,217
2024-09-09,291
2024-09-10,298
2024-09-11,291
2024-09-12,255
2024-09-13,347
2024-09-14,285
2024-09-15,263
2024-09-16,303
2024-09-17,245
2024-09-18,239
2024-09-19,281
2024-09-20,264
2024-09-21,250
2024-09-22,236
2024-09-23,259
2024-09-24,248
2024-09-25,210
2024-09-26,253
2024-09-27,262
2024-09-28,256
2024-09-29,268
2024-09-30,248
2024-10-01,229
2024-10-02,182
2024-10-03,213
2024-10-04,241
2024-10-05,287
2024-10-06,242
2024-10-07,234
2024-10-08,251
2024-10-09,272
2024-10-10,308
2024-10-11,296
2024-10-12,236
2024-10-13,215
2024-10-14,202
2024-10-15,285
2024-10-16,296
2024-10-17,258
2024-10-18,237
2024-10-19,242
2024-10-20,239
2024-10-21,255
2024-10-22,252
2024-10-23,262
2024-10-24,241
2024-10-25,277
2024-10-26,247
2024-10-27,244
2024-10-28,293
2024-10-29,242
2024-10-30,210
2024-10-31,287
2024-11-01,277
2024-11-02,223
2024-11-03,241
2024-11-04,233
2024-11-05,216
2024-11-06,285
2024-11-07,230
2024-11-08,282
2024-11-09,249
2024-11-10,236
2024-11-11,200
2024-11-12,262
2024-11-13,229
2024-11-14,233
2024-11-15,258
2024-11-16,235
2024-11-17,213
2024-11-18,291
2024-11-19,254
2024-11-20,250
2024-11-21,335
2024-11-22,327
2024-11-23,223
2024-11-24,215
2024-11-25,232
2024-11-26,256
